date,ID1,ID2,ID3,time,well,row,col,sample,group,A535,B475,BRET RATIO
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,G08,G,08,Sample X7,D,78,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,G09,G,09,Sample X7,E,124500,202530,0.6147237446304251
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,G10,G,10,Sample X7,E,99386,157284,0.6318888125937794
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,G11,G,11,Sample X7,F,95522,149230,0.6400991757689473
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,G12,G,12,Sample X7,F,109906,163764,0.6711243008231357
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H01,H,01,Negative control N,A,108448,175748,0.6170653435600975
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H02,H,02,Negative control N,A,106434,167868,0.634033883765816
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H03,H,03,Negative control N,B,156010,263280,0.5925630507444546
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H04,H,04,Negative control N,B,58332,85958,0.6786104841899532
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H05,H,05,Negative control N,C,93736,144762,0.6475179950539506
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H06,H,06,Negative control N,C,79738,119112,0.6694371683793404
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H07,H,07,Negative control N,D,32,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H08,H,08,Negative control N,D,44,14,3.142857142857143
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H09,H,09,Negative control N,E,121418,196358,0.6183501563470803
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H10,H,10,Negative control N,E,95488,153178,0.6233793364582382
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H11,H,11,Negative control N,F,94840,139466,0.6800223710438387
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,65,H12,H,12,Negative control N,F,105960,163358,0.6486367364928561
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A01,A,01,Sample X1,A,114542,172736,0.6631043905150056
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A02,A,02,Sample X1,A,103370,144928,0.7132507175977036
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A03,A,03,Sample X1,B,129016,199108,0.6479699459589771
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A04,A,04,Sample X1,B,10162,14884,0.6827465735017468
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A05,A,05,Sample X1,C,72822,106322,0.6849193957976712
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A06,A,06,Sample X1,C,52946,80574,0.6571102340705438
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A07,A,07,Sample X1,D,12,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A08,A,08,Sample X1,D,54,44,1.2272727272727273
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A09,A,09,Sample X1,E,141550,218186,0.6487583987973564
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A10,A,10,Sample X1,E,114616,169202,0.6773915201947968
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A11,A,11,Sample X1,F,115316,167968,0.6865355305772528
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,A12,A,12,Sample X1,F,101602,145442,0.6985740020076732
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B01,B,01,Sample X2,A,116496,174180,0.6688253530830176
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B02,B,02,Sample X2,A,103866,153314,0.6774723769518766
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B03,B,03,Sample X2,B,120528,190640,0.6322282836760386
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B04,B,04,Sample X2,B,108872,165272,0.6587443729125321
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B05,B,05,Sample X2,C,74954,110868,0.6760652307248259
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B06,B,06,Sample X2,C,64568,92406,0.6987425058978854
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B07,B,07,Sample X2,D,64,108,0.5925925925925926
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B08,B,08,Sample X2,D,98,46,2.130434782608696
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B09,B,09,Sample X2,E,123872,190362,0.6507181055042498
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B10,B,10,Sample X2,E,98810,150272,0.6575409923339012
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B11,B,11,Sample X2,F,86432,125774,0.6872008523224196
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,B12,B,12,Sample X2,F,96640,134110,0.7206024904928789
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C01,C,01,Sample X3,A,106978,167404,0.6390408831330195
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C02,C,02,Sample X3,A,91582,139452,0.6567277629578636
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C03,C,03,Sample X3,B,122156,194376,0.628452072272297
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C04,C,04,Sample X3,B,102374,161688,0.6331576864083914
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C05,C,05,Sample X3,C,76314,110822,0.6886177834725957
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C06,C,06,Sample X3,C,59750,87078,0.6861664255035715
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C07,C,07,Sample X3,D,42,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C08,C,08,Sample X3,D,54,20,2.7
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C09,C,09,Sample X3,E,109860,180512,0.6086021981918099
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C10,C,10,Sample X3,E,96702,149940,0.644937975190076
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C11,C,11,Sample X3,F,101892,156218,0.6522423792392682
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,C12,C,12,Sample X3,F,103104,153252,0.672774254169603
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D01,D,01,Sample X4,A,115734,190022,0.6090557935396954
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D02,D,02,Sample X4,A,111972,173870,0.6439983896014263
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D03,D,03,Sample X4,B,145794,254640,0.5725494816211122
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D04,D,04,Sample X4,B,98438,158762,0.6200350209747925
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D05,D,05,Sample X4,C,103996,152766,0.6807535708207324
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D06,D,06,Sample X4,C,62050,90918,0.6824831166545678
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D07,D,07,Sample X4,D,46,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D08,D,08,Sample X4,D,76,8,9.5
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D09,D,09,Sample X4,E,120078,203756,0.5893225230177271
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D10,D,10,Sample X4,E,110788,169940,0.6519242085441921
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D11,D,11,Sample X4,F,108240,160970,0.6724234329378145
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,D12,D,12,Sample X4,F,128558,193382,0.6647878292705629
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E01,E,01,Sample X5,A,108102,186726,0.5789338388869252
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E02,E,02,Sample X5,A,86330,135800,0.6357142857142857
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E03,E,03,Sample X5,B,137414,244792,0.5613500441190888
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E04,E,04,Sample X5,B,122202,213784,0.5716143397073682
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E05,E,05,Sample X5,C,60798,92914,0.6543470305874249
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E06,E,06,Sample X5,C,83034,126774,0.6549765724833168
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E07,E,07,Sample X5,D,76,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E08,E,08,Sample X5,D,72,24,3.0
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E09,E,09,Sample X5,E,107130,176064,0.608471919302072
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E10,E,10,Sample X5,E,103934,168186,0.6179705801909791
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E11,E,11,Sample X5,F,102894,155660,0.6610176024669151
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,E12,E,12,Sample X5,F,95166,155268,0.6129144447020636
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F01,F,01,Sample X6,A,114374,194746,0.5872983270516468
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F02,F,02,Sample X6,A,88470,145040,0.6099696635410922
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F03,F,03,Sample X6,B,123664,218712,0.5654193642781374
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F04,F,04,Sample X6,B,113042,186486,0.6061688276867969
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F05,F,05,Sample X6,C,93124,146146,0.6371984180203358
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F06,F,06,Sample X6,C,46966,70716,0.6641495559703603
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F07,F,07,Sample X6,D,52,8,6.5
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F08,F,08,Sample X6,D,88,16,5.5
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F09,F,09,Sample X6,E,107022,179514,0.5961763427922057
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F10,F,10,Sample X6,E,83288,137574,0.605405091078256
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F11,F,11,Sample X6,F,72148,117184,0.615681321682141
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,F12,F,12,Sample X6,F,87798,138996,0.6316584649917983
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G01,G,01,Sample X7,A,99852,163304,0.6114485866849557
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G02,G,02,Sample X7,A,104968,181512,0.5782978535854378
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G03,G,03,Sample X7,B,117258,196554,0.5965688818339998
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G04,G,04,Sample X7,B,117228,208942,0.5610552210661331
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G05,G,05,Sample X7,C,84402,136018,0.620520813421753
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G06,G,06,Sample X7,C,63712,99690,0.6391012137626643
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G07,G,07,Sample X7,D,52,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G08,G,08,Sample X7,D,46,20,2.3
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G09,G,09,Sample X7,E,112570,197556,0.5698131162809532
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G10,G,10,Sample X7,E,93172,155466,0.5993078872550911
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G11,G,11,Sample X7,F,87484,146854,0.5957209200975118
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,G12,G,12,Sample X7,F,99534,161296,0.6170890784644381
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H01,H,01,Negative control N,A,101372,181250,0.5592937931034483
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H02,H,02,Negative control N,A,101020,173044,0.5837821594507755
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H03,H,03,Negative control N,B,147578,268808,0.5490089580667242
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H04,H,04,Negative control N,B,55146,88688,0.621797762944254
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H05,H,05,Negative control N,C,86602,139946,0.6188244036985695
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H06,H,06,Negative control N,C,73362,117052,0.6267470867648567
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H07,H,07,Negative control N,D,72,0,inf
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H08,H,08,Negative control N,D,70,28,2.5
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H09,H,09,Negative control N,E,112322,194640,0.5770756267981916
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H10,H,10,Negative control N,E,90744,156534,0.5797079228793744
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H11,H,11,Negative control N,F,87296,134712,0.6480194785913653
2022-06-03 11:19:15,"03-06-2022,11:19:14",CAMYEL - variants,Plate 1,130,H12,H,12,Negative control N,F,93530,162580,0.5752860130397343
